Contig	Start	End	ID	Name	Product	females_depth	females_depth_corr	females_depth_coding	females_depth_coding_corr	females_depth_noncoding	females_depth_noncoding_corr	males_depth	males_depth_corr	males_depth_coding	males_depth_coding_corr	males_depth_noncoding	males_depth_noncoding_corr	females_snps	females_snps_coding	females_snps_noncoding	males_snps	males_snps_coding	males_snps_noncoding
2368	395049	395116	FUN_046548			76	75	0	0	0	0	67	67	0	0	0	0	0	0	0	0	0	0
2368	207316	324924	FUN_046547			69	68	73	72	68	67	68	68	74	74	68	68	1	0	1	8	0	8
2368	168035	200702	FUN_046546			69	68	68	67	69	68	65	65	68	68	65	65	0	0	0	10	0	10
2368	166869	166945	FUN_046545			71	70	0	0	0	0	74	74	0	0	0	0	0	0	0	0	0	0
2368	96912	164784	FUN_046544			70	69	77	76	69	68	68	68	71	71	67	67	0	0	0	0	0	0
2368	29915	30125	FUN_046541			64	63	64	63	0	0	57	57	57	57	0	0	0	0	0	0	0	0
2368	4385	4456	FUN_046539			540	535	0	0	0	0	507	510	0	0	0	0	0	0	0	0	0	0
2365	1385683	1385757	FUN_046530			64	63	0	0	0	0	62	62	0	0	0	0	0	0	0	0	0	0
2365	1287551	1369654	FUN_046529	ABCA3_4		69	68	67	66	69	68	68	68	71	71	67	67	0	0	0	0	0	0
2365	1148336	1179955	FUN_046527	NT5M		59	58	73	72	58	57	57	57	71	71	57	57	0	0	0	0	0	0
2365	857363	862485	FUN_046521			64	63	63	62	64	63	61	61	57	57	61	61	0	0	0	0	0	0
2365	829952	832211	FUN_046520			48	47	64	63	44	43	48	48	59	59	45	45	0	0	0	3	0	3
2365	797778	810443	FUN_046519			65	64	69	68	65	64	66	66	66	66	66	66	0	0	0	0	0	0
2365	784123	796678	FUN_046518			71	70	61	60	71	70	73	73	67	67	73	73	0	0	0	0	0	0
2365	709652	709724	FUN_046516			82	81	0	0	0	0	95	95	0	0	0	0	0	0	0	0	0	0
2365	590602	599281	FUN_046512			64	63	54	53	64	63	66	66	47	47	67	67	0	0	0	0	0	0
2365	557562	568079	FUN_046511			57	56	66	65	56	55	63	63	67	67	63	63	0	0	0	0	0	0
2365	469122	470134	FUN_046509			63	62	64	63	62	61	68	68	67	67	69	69	0	0	0	0	0	0
2365	445536	446852	FUN_046508			70	69	80	79	58	57	72	72	81	81	61	61	0	0	0	0	0	0
2365	441058	444004	FUN_046507			57	56	36	35	59	58	54	54	30	30	56	56	0	0	0	0	0	0
2365	423541	424946	FUN_046506			56	55	64	63	46	45	53	53	61	61	44	44	0	0	0	0	0	0
2365	417425	418294	FUN_046505			77	76	76	75	79	78	77	77	77	77	78	78	0	0	0	0	0	0
2365	415795	417409	FUN_046504			79	78	82	81	77	76	78	78	76	76	79	79	0	0	0	0	0	0
2365	401995	405267	FUN_046503			68	67	79	78	66	65	63	63	69	69	62	62	0	0	0	0	0	0
2365	273486	302927	FUN_046499	ARPC1A		68	67	75	74	68	67	69	69	71	71	69	69	0	0	0	5	0	5
2365	203921	264351	FUN_046498	EEF2K		68	67	74	73	68	67	66	66	72	72	66	66	1	0	1	1	0	1
2365	150532	150604	FUN_046496			71	70	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0
2365	137851	137923	FUN_046495			67	66	0	0	0	0	77	77	0	0	0	0	0	0	0	0	0	0
2365	46667	47125	FUN_046493			72	71	75	74	69	68	70	70	69	69	70	70	0	0	0	0	0	0
2365	42105	42290	FUN_046492			79	78	79	78	0	0	79	79	79	79	0	0	0	0	0	0	0	0
2363	628684	664410	FUN_046488			69	68	72	71	69	68	68	68	67	67	69	69	1	0	1	0	0	0
2363	583261	622544	FUN_046486	GPN1		66	65	74	73	66	65	65	65	78	78	65	65	15	0	15	2	0	2
2363	450926	583031	FUN_046485	STK36		65	64	23	22	70	69	63	63	22	22	67	67	1	0	1	7	0	7
2363	267430	310425	FUN_046480	SGF29		67	66	71	70	67	66	65	65	65	65	65	65	0	0	0	0	0	0
2363	218519	264129	FUN_046479	RNF25		64	63	34	33	69	68	63	63	35	35	67	67	0	0	0	2	0	2
2363	85679	86225	FUN_046471			79	78	76	75	83	82	60	60	62	62	57	57	0	0	0	0	0	0
2363	44083	46469	FUN_046470	CA14_10		63	62	51	50	65	64	66	66	52	52	68	68	0	0	0	0	0	0
2363	11237	12970	FUN_046469			71	70	72	71	70	69	70	70	74	74	67	67	0	0	0	0	0	0
2362	3542118	3542193	FUN_046468			69	68	0	0	0	0	69	69	0	0	0	0	0	0	0	0	0	0
2362	3477361	3533423	FUN_046466	ITGA4		65	64	67	66	65	64	64	64	69	69	64	64	1	0	1	4	0	4
2362	3472423	3472500	FUN_046465			74	73	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0
2362	3340663	3431879	FUN_046461	ITGA9_6		68	67	74	73	68	67	67	67	73	73	67	67	0	0	0	1	0	1
2362	3236449	3245412	FUN_046456	TUBA1A_3		75	74	71	70	76	75	74	74	75	75	74	74	0	0	0	0	0	0
2362	3096210	3096935	FUN_046454			70	69	70	69	0	0	64	64	64	64	0	0	0	0	0	0	0	0
2362	2987830	2988720	FUN_046453	CDK5R1		84	83	84	83	0	0	92	92	91	91	0	0	0	0	0	0	0	0
2362	2962358	2963656	FUN_046452			81	80	81	80	0	0	78	78	78	78	0	0	0	0	0	0	0	0
2362	2922411	2953274	FUN_046451	PSMD11		69	68	69	68	69	68	70	70	73	73	70	70	0	0	0	0	0	0
2362	2896330	2922017	FUN_046450			68	67	76	75	68	67	68	68	74	74	68	68	0	0	0	0	0	0
2362	2815296	2815368	FUN_046447			80	79	0	0	0	0	76	76	0	0	0	0	0	0	0	0	0	0
2362	2794459	2794842	FUN_046446			43	42	43	42	0	0	50	50	50	50	0	0	0	0	0	0	0	0
2362	2612023	2755891	FUN_046445			68	67	38	37	70	69	67	67	38	38	69	69	0	0	0	15	0	15
2362	2494372	2611503	FUN_046444	PLXDC2_2		67	66	68	67	67	66	67	67	71	71	67	67	4	0	4	11	0	11
2362	2290572	2339237	FUN_046442	TRA2B_4		71	70	35	34	72	71	71	71	40	40	72	72	0	0	0	0	0	0
2362	2237533	2285569	FUN_046441	ICE2		70	69	36	35	78	77	69	69	36	36	77	77	1	0	1	2	0	2
2362	2154020	2154433	FUN_046439			74	73	74	73	0	0	76	76	76	76	0	0	0	0	0	0	0	0
2362	2126094	2138005	FUN_046438	LRRC73_2		66	65	71	70	64	63	64	64	66	66	63	63	0	0	0	0	0	0
2362	2042078	2042512	FUN_046435			36	35	36	35	0	0	41	41	41	41	0	0	0	0	0	0	0	0
2362	2020868	2022583	FUN_046434	COL6A6_3		81	80	78	77	88	87	79	79	74	74	89	89	0	0	0	1	1	0
2362	1793355	1946622	FUN_046431	SMARCD2		54	53	73	72	53	52	52	52	67	67	52	52	0	0	0	0	0	0
2362	1488883	1513735	FUN_046424	AIG1_2		43	42	14	13	44	43	42	42	19	19	42	42	0	0	0	0	0	0
2362	1367898	1654054	FUN_046427	ADCY1_2		61	60	74	73	61	60	60	60	73	73	60	60	1	0	1	3	0	3
2362	1311842	1311915	FUN_046421			88	87	0	0	0	0	84	84	0	0	0	0	0	0	0	0	0	0
2362	1238632	1254426	FUN_046420			72	71	65	64	72	71	70	70	69	69	70	70	2	0	2	0	0	0
2362	1113196	1113877	FUN_046416			75	74	75	74	76	75	74	74	71	71	76	76	0	0	0	0	0	0
2362	951070	1001194	FUN_046412	PLXDC2_1		72	71	75	74	72	71	71	71	74	74	71	71	1	0	1	0	0	0
2362	858661	858728	FUN_046410			79	78	0	0	0	0	78	78	0	0	0	0	0	0	0	0	0	0
2362	839605	840689	FUN_046408			76	75	75	74	78	77	79	79	79	79	79	79	0	0	0	0	0	0
2362	814061	814134	FUN_046407			65	64	0	0	0	0	68	68	0	0	0	0	0	0	0	0	0	0
2362	793276	802441	FUN_046406			71	70	79	78	71	70	70	70	77	77	70	70	0	0	0	0	0	0
2362	707973	774992	FUN_046405	ech-8		71	70	73	72	71	70	69	69	70	70	69	69	2	0	2	4	0	4
2362	602597	605304	FUN_046403			310	307	321	318	298	295	261	263	268	270	254	255	0	0	0	0	0	0
2362	441726	442157	FUN_046401			61	60	61	60	62	61	70	70	73	73	66	66	0	0	0	0	0	0
2362	382919	429390	FUN_046400			69	68	70	69	69	68	69	69	75	75	68	68	0	0	0	0	0	0
2362	323776	368227	FUN_046398	DIRC2_3		63	62	34	33	65	64	63	63	33	33	65	65	2	0	2	2	0	2
2362	256714	257031	FUN_046396			71	70	70	69	0	0	82	82	82	82	0	0	0	0	0	0	0	0
2362	198521	254458	FUN_046395	DIRC2_1		73	72	69	68	73	72	72	72	72	72	72	72	0	0	0	0	0	0
2362	183368	194102	FUN_046394			66	65	77	76	65	64	64	64	75	75	63	63	0	0	0	0	0	0
2362	147736	147808	FUN_046392			67	66	0	0	0	0	84	84	0	0	0	0	0	0	0	0	0	0
2362	14975	99040	FUN_046391	NEK10		68	67	71	70	67	66	66	66	72	72	66	66	25	0	25	2	0	2
2361	2579208	2580131	FUN_046390			78	77	77	76	79	78	82	82	81	81	82	82	0	0	0	0	0	0
2361	2505722	2505795	FUN_046388			76	75	0	0	0	0	84	84	0	0	0	0	0	0	0	0	0	0
2361	2436086	2479999	FUN_046387			70	69	65	64	71	70	67	67	54	54	67	67	1	0	1	0	0	0
2361	2362639	2411605	FUN_046385			65	64	73	72	64	63	64	64	67	67	63	63	0	0	0	0	0	0
2361	2206889	2207887	FUN_046380			67	66	69	68	63	62	71	71	69	69	73	73	0	0	0	0	0	0
2361	2162173	2195456	FUN_046379	ACTR3B		72	71	72	71	72	71	70	70	70	70	70	70	0	0	0	0	0	0
2361	2139061	2147498	FUN_046378			72	71	74	73	72	71	76	76	77	77	75	75	0	0	0	0	0	0
2361	2093911	2123346	FUN_046377	DNAJC1		69	68	72	71	69	68	68	68	69	69	68	68	0	0	0	0	0	0
2361	1974837	1978642	FUN_046374			85	84	92	91	84	83	82	82	78	78	83	83	0	0	0	0	0	0
2361	1778720	1808932	FUN_046372			61	60	62	61	61	60	61	61	58	58	61	61	5	1	4	0	0	0
2361	1706255	1706331	FUN_046371			84	83	0	0	0	0	55	55	0	0	0	0	0	0	0	0	0	0
2361	1698542	1702002	FUN_046370			71	70	68	67	72	71	70	70	71	71	70	70	0	0	0	0	0	0
2361	1687822	1695362	FUN_046369			66	65	76	75	65	64	63	63	73	73	62	62	0	0	0	0	0	0
2361	1653000	1654911	FUN_046367			72	71	66	65	73	72	71	71	72	72	71	71	0	0	0	0	0	0
2361	1580817	1632475	FUN_046366			39	38	31	30	39	38	38	38	30	30	39	39	0	0	0	1	0	1
2361	1569197	1572141	FUN_046365			18	17	3	2	28	27	18	18	4	4	27	27	0	0	0	0	0	0
2361	1557971	1561903	FUN_046364			73	72	64	63	75	74	68	68	61	61	69	69	0	0	0	0	0	0
2361	1504687	1516974	FUN_046362			0	0	6	5	0	0	0	0	6	6	0	0	0	0	0	0	0	0
2361	1490354	1490764	FUN_046361			76	75	73	72	82	81	65	65	62	62	75	75	0	0	0	0	0	0
2361	1481423	1481495	FUN_046359			60	59	0	0	0	0	60	60	0	0	0	0	0	0	0	0	0	0
2361	1433762	1433915	FUN_046358			67	66	66	65	0	0	61	61	61	61	0	0	0	0	0	0	0	0
2361	1341929	1342005	FUN_046357			105	104	0	0	0	0	94	94	0	0	0	0	0	0	0	0	0	0
2361	1005599	1006976	FUN_046354			53	52	67	66	49	48	48	48	59	59	45	45	0	0	0	0	0	0
2361	951194	985346	FUN_046352			70	69	75	74	70	69	70	70	74	74	70	70	0	0	0	0	0	0
2361	942237	943262	FUN_046351			76	75	67	66	81	80	76	76	73	73	77	77	0	0	0	0	0	0
2361	938529	938589	FUN_046350			78	77	0	0	0	0	63	63	0	0	0	0	0	0	0	0	0	0
2361	912510	923274	FUN_046349			52	51	65	64	51	50	50	50	64	64	49	49	0	0	0	5	0	5
2361	900699	904151	FUN_046348			75	74	77	76	75	74	74	74	75	75	74	74	0	0	0	0	0	0
2361	887190	895950	FUN_046347			62	61	70	69	62	61	65	65	81	81	63	63	0	0	0	0	0	0
2361	869142	885045	FUN_046346			71	70	74	73	70	69	68	68	72	72	68	68	0	0	0	0	0	0
2361	797317	798622	FUN_046345			69	68	73	72	68	67	70	70	63	63	72	72	0	0	0	0	0	0
2361	702118	702190	FUN_046343			71	70	0	0	0	0	79	79	0	0	0	0	0	0	0	0	0	0
2361	634420	634487	FUN_046342			82	81	0	0	0	0	68	68	0	0	0	0	0	0	0	0	0	0
2361	560737	630599	FUN_046341			69	68	72	71	69	68	69	69	73	73	69	69	0	0	0	0	0	0
2361	409820	409893	FUN_046339			74	73	0	0	0	0	61	61	0	0	0	0	0	0	0	0	0	0
2361	371122	405896	FUN_046338			73	72	71	70	73	72	71	71	66	66	71	71	0	0	0	0	0	0
2361	365721	365792	FUN_046337			76	75	0	0	0	0	75	75	0	0	0	0	0	0	0	0	0	0
2361	356037	362494	FUN_046336	WDR74		66	65	77	76	64	63	66	66	76	76	64	64	0	0	0	0	0	0
2361	242464	242951	FUN_046331	CHRNA9_3		72	71	73	72	71	70	75	75	78	78	69	69	0	0	0	0	0	0
2361	229954	230399	FUN_046329	CHRNA9_2		61	60	60	59	67	66	72	72	72	72	71	71	0	0	0	0	0	0
2361	113157	122662	FUN_046327			75	74	85	84	74	73	75	75	79	79	74	74	0	0	0	0	0	0
2361	44179	49466	FUN_046325			60	59	70	69	56	55	64	64	74	74	61	61	0	0	0	4	0	4
2360	7363946	7443163	FUN_046320			68	67	67	66	68	67	67	67	66	66	67	67	1	0	1	2	0	2
2360	7344551	7358239	FUN_046319			68	67	71	70	68	67	67	67	70	70	67	67	0	0	0	7	0	7
2360	7334412	7335599	FUN_046318	GFOD1		66	65	66	65	0	0	76	76	76	76	0	0	0	0	0	0	0	0
2360	7258893	7265674	FUN_046316			98	97	16	15	100	99	91	91	8	8	93	93	0	0	0	0	0	0
2360	7181912	7250814	FUN_046315	CNOT10		69	68	72	71	69	68	70	70	71	71	70	70	4	0	4	2	0	2
2360	7086492	7095419	FUN_046313	NUDT19		68	67	64	63	69	68	70	70	68	68	70	70	0	0	0	0	0	0
2360	6997145	7036698	FUN_046311	BBS4		66	65	72	71	66	65	66	66	69	69	66	66	2	0	2	0	0	0
2360	6947977	6969063	FUN_046310			65	64	76	75	65	64	65	65	73	73	64	64	0	0	0	0	0	0
2360	6927771	6927852	FUN_046309			57	56	0	0	0	0	68	68	0	0	0	0	0	0	0	0	0	0
2360	6763784	6918400	FUN_046308	MTSS1		65	64	71	70	65	64	65	65	69	69	65	65	0	0	0	3	0	3
2360	6720477	6720549	FUN_046307			60	59	0	0	0	0	37	37	0	0	0	0	0	0	0	0	0	0
2360	6716693	6717733	FUN_046306			89	88	92	91	78	77	82	82	81	81	84	84	0	0	0	0	0	0
2360	6703533	6704129	FUN_046305			72	71	72	71	0	0	76	76	76	76	0	0	0	0	0	0	0	0
2360	6633092	6633165	FUN_046303			65	64	0	0	0	0	59	59	0	0	0	0	0	0	0	0	0	0
2360	6555849	6555921	FUN_046299			69	68	0	0	0	0	67	67	0	0	0	0	0	0	0	0	0	0
2360	6229933	6248815	FUN_046289			72	71	75	74	72	71	71	71	70	70	71	71	0	0	0	0	0	0
2360	6186386	6224166	FUN_046288	TOP1		75	74	79	78	75	74	73	73	77	77	73	73	0	0	0	1	0	1
2360	6148333	6161956	FUN_046286	UBE2C		74	73	68	67	75	74	72	72	73	73	72	72	0	0	0	0	0	0
2360	6049992	6084003	FUN_046283	MCUR1		65	64	73	72	64	63	65	65	71	71	64	64	2	0	2	0	0	0
2360	5985203	5987443	FUN_046280	SQSTM1_5		71	70	68	67	73	72	72	72	68	68	74	74	0	0	0	0	0	0
2360	5900583	5954412	FUN_046276	SQSTM1_3		71	70	78	77	71	70	72	72	81	81	71	71	0	0	0	0	0	0
2360	5875809	5879954	FUN_046275	SQSTM1_2		80	79	76	75	80	79	77	77	75	75	78	78	0	0	0	0	0	0
2360	5861734	5862839	FUN_046274			27	26	21	20	69	68	31	31	26	26	67	67	0	0	0	0	0	0
2360	5816363	5846942	FUN_046273			33	32	74	73	29	28	29	29	73	73	26	26	0	0	0	0	0	0
2360	5807721	5807797	FUN_046272			82	81	0	0	0	0	67	67	0	0	0	0	0	0	0	0	0	0
2360	5582598	5792266	FUN_046271			61	60	65	64	60	59	62	62	64	64	62	62	26	1	25	36	0	36
2360	5578576	5578878	FUN_046269			58	57	58	57	0	0	53	53	53	53	0	0	0	0	0	0	0	0
2360	5511562	5516557	FUN_046267			74	73	73	72	74	73	88	88	85	85	89	89	0	0	0	0	0	0
2360	5506073	5507317	FUN_046266			77	76	79	78	73	72	85	85	87	87	83	83	0	0	0	0	0	0
2360	5452392	5452745	FUN_046264			72	71	72	71	0	0	74	74	74	74	0	0	0	0	0	0	0	0
2360	5449009	5449329	FUN_046262			80	79	80	79	0	0	117	117	117	117	0	0	0	0	0	0	0	0
2360	5243320	5324793	FUN_046259	WDR89		65	64	69	68	65	64	64	64	70	70	64	64	0	0	0	0	0	0
2360	5173738	5215652	FUN_046256	PSKH1		68	67	68	67	68	67	67	67	65	65	67	67	0	0	0	0	0	0
2360	5165668	5165748	FUN_046255			68	67	0	0	0	0	66	66	0	0	0	0	0	0	0	0	0	0
2360	5102103	5102175	FUN_046254			69	68	0	0	0	0	72	72	0	0	0	0	0	0	0	0	0	0
2360	4992646	5073149	FUN_046253	DDX27		59	58	71	70	58	57	57	57	68	68	57	57	1	0	1	1	0	1
2360	4968443	4987456	FUN_046252			72	71	75	74	71	70	73	73	74	74	72	72	0	0	0	0	0	0
2360	4928541	4959717	FUN_046251			67	66	73	72	67	66	68	68	72	72	68	68	0	0	0	1	0	1
2360	4905175	4905251	FUN_046250			63	62	0	0	0	0	65	65	0	0	0	0	0	0	0	0	0	0
2360	4897521	4898212	FUN_046249			51	50	54	53	40	39	60	60	60	60	57	57	0	0	0	0	0	0
2360	4857848	4896755	FUN_046248	POLR2C		62	61	66	65	62	61	61	61	75	75	60	60	7	0	7	2	0	2
2360	4813054	4853259	FUN_046247	RPRD1A		65	64	75	74	65	64	64	64	72	72	64	64	0	0	0	0	0	0
2360	4790035	4805089	FUN_046246			66	65	60	59	67	66	63	63	54	54	64	64	0	0	0	0	0	0
2360	4708148	4722339	FUN_046243			64	63	76	75	63	62	63	63	77	77	61	61	1	0	1	0	0	0
2360	4667451	4675214	FUN_046242			59	58	66	65	57	56	60	60	66	66	59	59	0	0	0	0	0	0
2360	4561849	4636132	FUN_046241	TANGO6		67	66	36	35	70	69	66	66	36	36	69	69	4	0	4	1	0	1
2360	4539134	4539546	FUN_046238			77	76	76	75	80	79	80	80	80	80	83	83	0	0	0	0	0	0
2360	4503541	4519613	FUN_046237	TLR1_5		58	57	72	71	56	55	60	60	75	75	58	58	0	0	0	0	0	0
2360	4346587	4384735	FUN_046234			60	59	67	66	59	58	59	59	64	64	59	59	0	0	0	0	0	0
2360	4313653	4322830	FUN_046232			68	67	72	71	67	66	66	66	68	68	65	65	0	0	0	0	0	0
2360	4155303	4258826	FUN_046229	ANKRD27		68	67	36	35	70	69	67	67	37	37	69	69	0	0	0	0	0	0
2360	4008203	4141497	FUN_046226	PHLPP2		56	55	69	68	56	55	55	55	70	70	54	54	12	0	12	10	0	10
2360	3993596	4011375	FUN_046225	RNF31_4		70	69	119	118	63	62	71	71	118	118	64	64	0	0	0	0	0	0
2360	3943098	3950790	FUN_046224			624	619	598	593	631	626	568	572	549	553	573	577	0	0	0	0	0	0
2360	3922549	3923641	FUN_046223			494	490	382	379	520	515	468	471	379	381	488	491	0	0	0	0	0	0
2360	3905933	3906391	FUN_046221			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2360	3899760	3900322	FUN_046220			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2360	3888892	3890297	FUN_046217			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2360	3885169	3885942	FUN_046216			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2360	3875738	3876325	FUN_046215			109	108	112	111	101	100	93	93	96	96	85	85	0	0	0	0	0	0
2360	3778753	3861858	FUN_046214			76	75	81	80	75	74	71	71	75	75	70	70	0	0	0	0	0	0
2360	3720795	3725453	FUN_046211			84	83	83	82	96	95	75	75	74	74	88	88	0	0	0	0	0	0
2360	3710882	3720486	FUN_046210			18	17	18	17	18	17	19	19	20	20	12	12	13	13	0	6	0	6
2360	3639087	3695185	FUN_046209			17	16	18	17	17	16	15	15	16	16	14	14	29	19	10	3	0	3
2360	3569782	3570878	FUN_046207			73	72	73	72	0	0	77	77	77	77	0	0	0	0	0	0	0	0
2360	3559404	3559655	FUN_046205			81	80	81	80	0	0	82	82	82	82	0	0	0	0	0	0	0	0
2360	3505149	3505994	FUN_046203			81	80	85	84	78	77	75	75	77	77	72	72	0	0	0	0	0	0
2360	3467561	3495029	FUN_046202	GBP1_5		72	71	78	77	72	71	71	71	74	74	71	71	0	0	0	0	0	0
2360	3385615	3425713	FUN_046198	PARP12_9		70	69	74	73	69	68	67	67	74	74	66	66	0	0	0	0	0	0
2360	3346237	3368265	FUN_046197	SLC7A6OS		69	68	70	69	69	68	69	69	64	64	69	69	0	0	0	0	0	0
2360	3279703	3279780	FUN_046195			59	58	0	0	0	0	71	71	0	0	0	0	0	0	0	0	0	0
2360	3222160	3241267	FUN_046193	RP9		71	70	82	81	71	70	70	70	74	74	70	70	0	0	0	0	0	0
2360	3172273	3173851	FUN_046192	SNAI2_2		69	68	75	74	53	52	67	67	70	70	61	61	0	0	0	0	0	0
2360	3107979	3151155	FUN_046191	OTUD6B		66	65	75	74	66	65	65	65	70	70	65	65	1	0	1	0	0	0
2360	3079885	3107788	FUN_046190			69	68	73	72	69	68	69	69	72	72	69	69	0	0	0	0	0	0
2360	3055479	3055868	FUN_046188			79	78	79	78	0	0	78	78	78	78	0	0	0	0	0	0	0	0
2360	2782119	2782912	FUN_046186			72	71	65	64	77	76	78	78	71	71	84	84	0	0	0	0	0	0
2360	2776256	2776328	FUN_046185			84	83	0	0	0	0	88	88	0	0	0	0	0	0	0	0	0	0
2360	2730733	2760224	FUN_046184			69	68	72	71	69	68	68	68	69	69	68	68	0	0	0	0	0	0
2360	2558543	2559200	FUN_046181			85	84	84	83	89	88	81	81	81	81	78	78	0	0	0	0	0	0
2360	2521783	2521855	FUN_046177			77	76	0	0	0	0	52	52	0	0	0	0	0	0	0	0	0	0
2360	2385397	2412889	FUN_046174	morc3		67	66	75	74	66	65	68	68	72	72	67	67	1	0	1	0	0	0
2360	2030681	2031958	FUN_046164			58	57	58	57	56	55	52	52	52	52	46	46	0	0	0	0	0	0
2360	1995889	2360360	FUN_047023	LRRCC1		66	65	42	41	66	65	64	64	41	41	65	65	12	0	12	31	0	31
2360	1946537	1946610	FUN_046162			70	69	0	0	0	0	81	81	0	0	0	0	0	0	0	0	0	0
2360	1937932	1938376	FUN_046160			73	72	72	71	74	73	68	68	66	66	72	72	0	0	0	0	0	0
2360	1903293	1904035	FUN_046159			72	71	73	72	70	69	73	73	74	74	71	71	0	0	0	0	0	0
2360	1838825	1887908	FUN_046158			66	65	71	70	66	65	66	66	73	73	65	65	0	0	0	3	0	3
2360	1769886	1781673	FUN_046156			70	69	73	72	70	69	71	71	73	73	71	71	0	0	0	0	0	0
2360	1692381	1825540	FUN_046157	DHX38		62	61	70	69	62	61	61	61	70	70	61	61	6	0	6	4	0	4
2360	1608161	1638495	FUN_046152	ZFP64_1		71	70	74	73	71	70	72	72	71	71	72	72	0	0	0	0	0	0
2360	1584160	1597546	FUN_046150	FTSJ3		74	73	80	79	73	72	73	73	78	78	71	71	0	0	0	0	0	0
2360	1570922	1575173	FUN_046149			67	66	73	72	63	62	64	64	68	68	60	60	0	0	0	0	0	0
2360	1556120	1556762	FUN_046148			81	80	81	80	74	73	75	75	74	74	100	100	0	0	0	0	0	0
2360	1420503	1483526	FUN_046147	SEPT7		70	69	75	74	70	69	69	69	76	76	69	69	1	0	1	6	0	6
2360	1341211	1406466	FUN_046146	DUS2		63	62	66	65	63	62	63	63	66	66	63	63	4	0	4	10	0	10
2360	1310560	1310633	FUN_046144			70	69	0	0	0	0	83	83	0	0	0	0	0	0	0	0	0	0
2360	1182790	1225662	FUN_046141			64	63	65	64	64	63	63	63	66	66	63	63	1	0	1	1	0	1
2360	1167157	1182324	FUN_046140	ZNRF2		70	69	64	63	70	69	68	68	62	62	68	68	0	0	0	0	0	0
2360	1152157	1152233	FUN_046139			84	83	0	0	0	0	76	76	0	0	0	0	0	0	0	0	0	0
2360	1049609	1117547	FUN_046137	RBM39		73	72	70	69	73	72	72	72	66	66	72	72	1	0	1	0	0	0
2360	823910	878071	FUN_046135	CLPTM1L		70	69	74	73	70	69	68	68	71	71	68	68	0	0	0	0	0	0
2360	772629	805377	FUN_046134			67	66	68	67	67	66	66	66	74	74	66	66	0	0	0	0	0	0
2360	683095	683807	FUN_046132			77	76	80	79	76	75	78	78	74	74	80	80	0	0	0	0	0	0
2360	652251	653240	FUN_046131			81	80	77	76	83	82	83	83	79	79	84	84	0	0	0	0	0	0
2360	578916	580073	FUN_046129			37	36	58	57	21	20	41	41	64	64	22	22	0	0	0	0	0	0
2360	573159	573243	FUN_046128			84	83	0	0	0	0	72	72	0	0	0	0	0	0	0	0	0	0
2360	507067	507143	FUN_046127			73	72	0	0	0	0	87	87	0	0	0	0	0	0	0	0	0	0
2360	158596	449873	FUN_046126			65	64	68	67	65	64	65	65	68	68	65	65	12	0	12	4	0	4
